"","control","treatment1","treatment2","treatment3","treatment4","sampled_numbers","repeat.","diff","label"
"79",3,3.33333333333333,2.66666666666667,3.66666666666667,3,15,100,1,"blocked"
"80",3,2.66666666666667,2,2.66666666666667,3,15,100,1,"blocked"
"81",3,4,3,3,3,15,100,1,"blocked"
"82",4.33333333333333,2.66666666666667,2.66666666666667,3,3.33333333333333,15,100,1.66666666666667,"blocked"
"83",2.33333333333333,2.66666666666667,2,2.33333333333333,3.33333333333333,15,100,1.33333333333333,"blocked"
"84",2.66666666666667,2.66666666666667,2.33333333333333,3,2.66666666666667,15,100,0.666666666666667,"blocked"
"85",3.33333333333333,2.33333333333333,3.33333333333333,3.33333333333333,2.33333333333333,15,100,1,"blocked"
"86",3,3,3,4,2.66666666666667,15,100,1.33333333333333,"blocked"
"87",3.33333333333333,2.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667,15,100,1,"blocked"
"88",2.66666666666667,2.66666666666667,2.33333333333333,2.66666666666667,1.66666666666667,15,100,1,"blocked"
"89",3.33333333333333,3.33333333333333,3,2.66666666666667,3.33333333333333,15,100,0.666666666666667,"blocked"
"90",3.33333333333333,4,2.66666666666667,3,2.66666666666667,15,100,1.33333333333333,"blocked"
"91",3,1.66666666666667,2.33333333333333,3,1.33333333333333,15,100,1.66666666666667,"blocked"
"92",2.66666666666667,2.66666666666667,3,2.33333333333333,2.33333333333333,15,100,0.666666666666667,"blocked"
"93",3,3,2.66666666666667,2.66666666666667,3.33333333333333,15,100,0.666666666666667,"blocked"
"94",3.33333333333333,2.33333333333333,3,3,2.66666666666667,15,100,1,"blocked"
"95",3,3.33333333333333,2.66666666666667,4,3.33333333333333,15,100,1.33333333333333,"blocked"
"96",3.33333333333333,4,3.33333333333333,3.66666666666667,3.33333333333333,15,100,0.666666666666667,"blocked"
"97",2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,3,15,100,0.333333333333333,"blocked"
"98",3.66666666666667,2.66666666666667,3.33333333333333,3,3.66666666666667,15,100,1,"blocked"
"99",3.66666666666667,4,4,3.66666666666667,3.33333333333333,15,100,0.666666666666667,"blocked"
"100",3.66666666666667,2.66666666666667,3,4,2.66666666666667,15,100,1.33333333333333,"blocked"
"101",3.8,3.4,3.6,2.8,3.8,25,100,1,"blocked"
"102",2.8,3,2.4,3,2.4,25,100,0.6,"blocked"
"103",3.4,3,2.8,3,3,25,100,0.6,"blocked"
"104",2.2,3,2.4,3.2,3,25,100,1,"blocked"
"105",2.8,3.4,3,3.4,3,25,100,0.6,"blocked"
"106",3.2,3.2,3,2.6,3.2,25,100,0.6,"blocked"
