"","control","treatment1","treatment2","treatment3","treatment4","treatment5","treatment6","treatment7","treatment8","treatment9","variance","levels","groups","sampled_numbers","repeats","diff","label"
"2994",3.1025641025641,2.55172413793103,2.65853658536585,3.44117647058824,3.07407407407407,2.71875,2.85714285714286,3.03571428571429,3.42307692307692,3.27777777777778,1.92154192789969,5,10,320,100,0.889452332657201,"rand"
"2995",3.15384615384615,3.13793103448276,3.02439024390244,2.82352941176471,2.96296296296296,3.1875,2.78571428571429,2.60714285714286,3.5,3.27777777777778,1.95360501567398,5,10,320,100,0.892857142857143,"rand"
"2996",3,2.86206896551724,3.14634146341463,3.05882352941176,3.07407407407407,3.125,3.14285714285714,2.82142857142857,3.30769230769231,3,2.01911246081505,5,10,320,100,0.486263736263736,"rand"
"2997",2.51282051282051,2.96551724137931,2.92682926829268,3.11764705882353,3.18518518518519,3.21875,3.35714285714286,3.07142857142857,2.96153846153846,3.05555555555556,1.96829937304075,5,10,320,100,0.844322344322344,"rand"
"2998",2.25641025641026,3.62068965517241,2.68292682926829,2.91176470588235,2.96296296296296,2.875,3.03571428571429,3,2.03846153846154,2.5,1.90873824451411,5,10,320,100,1.58222811671088,"rand"
"2999",2.84615384615385,2.86206896551724,3.1219512195122,3.05882352941176,2.7037037037037,3.375,2.96428571428571,2.5,2.80769230769231,2.83333333333333,1.79011559561129,5,10,320,100,0.875,"rand"
"3000",3.05128205128205,2.93103448275862,2.90243902439024,3.02941176470588,3.18518518518519,3.125,3.17857142857143,3.03571428571429,2.92307692307692,2.72222222222222,2.01880877742947,5,10,320,100,0.462962962962963,"rand"
"3001",2.63333333333333,3.03846153846154,3.23076923076923,3.03030303030303,2.97916666666667,3.25,3,2.64705882352941,2.96969696969697,3.14814814814815,1.923781891867,5,10,330,100,0.616666666666667,"rand"
"3002",3.03333333333333,3.19230769230769,2.84615384615385,2.93939393939394,3.02083333333333,2.84375,3.02439024390244,2.94117647058824,3.06060606060606,3.48148148148148,2.05379018144976,5,10,330,100,0.637731481481481,"rand"
"3003",2.9,2.84615384615385,3.23076923076923,2.78787878787879,3.10416666666667,3,2.97560975609756,2.94117647058824,2.87878787878788,2.85185185185185,2.00427374044395,5,10,330,100,0.442890442890443,"rand"
"3004",2.9,3.23076923076923,2.69230769230769,2.45454545454545,3.25,3.03125,2.8780487804878,3.20588235294118,3.09090909090909,2.25925925925926,1.88178133922815,5,10,330,100,0.990740740740741,"rand"
"3005",2.46666666666667,2.61538461538462,2.73076923076923,3.33333333333333,3.1875,3.03125,2.48780487804878,3.23529411764706,3.63636363636364,3.40740740740741,1.99650916459427,5,10,330,100,1.16969696969697,"rand"
"3006",2.83333333333333,2.80769230769231,3,2.84848484848485,3.3125,3.0625,2.90243902439024,3.20588235294118,3.3030303030303,3.18518518518519,1.98415768628535,5,10,330,100,0.504807692307693,"rand"
"3007",2.83333333333333,2.96153846153846,3.23076923076923,3.09090909090909,2.9375,3.0625,2.92682926829268,2.82352941176471,3.03030303030303,2.88888888888889,2.14211108040895,5,10,330,100,0.407239819004525,"rand"
"3008",3.06666666666667,3.15384615384615,2.76923076923077,2.63636363636364,3.10416666666667,3.03125,2.92682926829268,2.94117647058824,2.6969696969697,3.18518518518519,1.92469374597034,5,10,330,100,0.548821548821549,"rand"
"3009",3.3,3.46153846153846,3.46153846153846,2.87878787878788,2.91666666666667,2.5625,2.5609756097561,2.76470588235294,3.6969696969697,3.40740740740741,2.09089988026158,5,10,330,100,1.1359940872136,"rand"
"3010",3.2,3.07692307692308,3.07692307692308,2.81818181818182,2.83333333333333,3.03125,3.02439024390244,3.11764705882353,3.12121212121212,2.96296296296296,2.12438979460256,5,10,330,100,0.381818181818182,"rand"
"3011",2.9,3.07692307692308,3.23076923076923,2.87878787878788,2.83333333333333,2.9375,3.60975609756098,2.94117647058824,3.3030303030303,2.85185185185185,1.94160449479598,5,10,330,100,0.776422764227642,"rand"
"3012",2.83333333333333,2.73076923076923,3.30769230769231,2.6969696969697,3.125,3.03125,2.92682926829268,2.94117647058824,3.21212121212121,3.07407407407407,2.27043382149765,5,10,330,100,0.610722610722611,"rand"
"3013",2.93333333333333,2.34615384615385,2.69230769230769,2.78787878787879,3.08333333333333,3.15625,3.21951219512195,2.94117647058824,2.84848484848485,3.85185185185185,1.92705167173252,5,10,330,100,1.50569800569801,"rand"
"3014",2.93333333333333,3.26923076923077,3.11538461538462,2.81818181818182,2.625,2.75,3.04878048780488,2.70588235294118,3,3.14814814814815,1.95022566086396,5,10,330,100,0.644230769230769,"rand"
"3015",2.8,2.53846153846154,3.30769230769231,3.06060606060606,2.91666666666667,3.15625,3.04878048780488,3.02941176470588,2.90909090909091,2.74074074074074,1.88269319333149,5,10,330,100,0.769230769230769,"rand"
"3016",2.7,3,3.42307692307692,3.24242424242424,2.97916666666667,3.375,2.97560975609756,2.67647058823529,2.87878787878788,3.37037037037037,2.055678364189,5,10,330,100,0.746606334841629,"rand"
"3017",3.33333333333333,2.65384615384615,2.42307692307692,2.48484848484848,3.20833333333333,3.0625,3.24390243902439,3.29411764705882,2.75757575757576,3.55555555555556,1.82311872524638,5,10,330,100,1.13247863247863,"rand"
"3018",3.2,2.53846153846154,2.65384615384615,2.87878787878788,3.02083333333333,2.78125,3.19512195121951,3.58823529411765,3.09090909090909,2.92592592592593,1.89043013723865,5,10,330,100,1.04977375565611,"rand"
"3019",3.26666666666667,2.76923076923077,3.11538461538462,2.93939393939394,3.1875,2.59375,3.14634146341463,3.14705882352941,3.33333333333333,2.85185185185185,1.9091922262135,5,10,330,100,0.739583333333333,"rand"
"3020",2.56666666666667,3.19230769230769,2.69230769230769,2.90909090909091,2.9375,2.78125,3.31707317073171,3.26470588235294,2.66666666666667,3.18518518518519,1.91029750391453,5,10,330,100,0.75040650406504,"rand"
"3021",3.26666666666667,3.34615384615385,3.11538461538462,2.72727272727273,2.79166666666667,3.0625,3.41463414634146,3.17647058823529,3.15151515151515,2.85185185185185,1.89906051395413,5,10,330,100,0.687361419068736,"rand"
"3022",3.4,3.07692307692308,3.19230769230769,2.57575757575758,2.79166666666667,2.59375,2.73170731707317,3.08823529411765,2.90909090909091,2.92592592592593,2.12184765589021,5,10,330,100,0.824242424242424,"rand"
"3023",2.96666666666667,2.96153846153846,2.80769230769231,2.96969696969697,3.125,2.90625,3.1219512195122,2.70588235294118,2.84848484848485,3.03703703703704,1.99819471308833,5,10,330,100,0.419117647058823,"rand"
"3024",3.1,3,3.03846153846154,3.15151515151515,2.66666666666667,3.15625,3.14634146341463,2.55882352941176,3.12121212121212,3.33333333333333,1.89054066500875,5,10,330,100,0.774509803921569,"rand"
"3025",3.4,3.19230769230769,2.88461538461538,2.6969696969697,2.89583333333333,3.09375,2.80487804878049,2.91176470588235,2.36363636363636,3.25925925925926,2.18661692917012,5,10,330,100,1.03636363636364,"rand"
"3026",3.3,2.5,2.92307692307692,2.78787878787879,2.64583333333333,3.09375,2.90243902439024,2.97058823529412,3.06060606060606,2.92592592592593,1.76564428479322,5,10,330,100,0.8,"rand"
"3027",3,2.92307692307692,2.76923076923077,2.72727272727273,3.29166666666667,3.1875,2.92682926829268,2.94117647058824,3.03030303030303,3.07407407407407,1.91792392005158,5,10,330,100,0.564393939393939,"rand"
"3028",3.3,2.84615384615385,3.07692307692308,2.87878787878788,2.8125,2.75,3.02439024390244,2.97058823529412,2.78787878787879,3.14814814814815,1.9882195818366,5,10,330,100,0.55,"rand"
"3029",2.76666666666667,3.5,2.80769230769231,2.96969696969697,2.95833333333333,3.25,3.63414634146341,2.82352941176471,2.75757575757576,2.77777777777778,1.95004144791379,5,10,330,100,0.876570583887657,"rand"
"3030",2.9,3,2.96153846153846,3.09090909090909,3,2.875,3.21951219512195,3.05882352941176,2.87878787878788,2.96296296296296,1.91184489269596,5,10,330,100,0.344512195121951,"rand"
"3031",3.03333333333333,2.76923076923077,3,3.18181818181818,3.08333333333333,2.90625,3.09756097560976,3.14705882352941,2.78787878787879,3.51851851851852,1.97877866814037,5,10,330,100,0.749287749287749,"rand"
