RID,age
5fdce658-c7b6-62ce-63fc-147c463efebf,18
5fdce6b4-a092-8c47-d4d0-561adf227ad6,45
5fdce6a4-1e3a-6bc3-cf7f-a21b0d461fed,33
5fdce6a4-0603-d13e-f185-13fa1664506b,18
5fdce9d6-9e5b-8fb5-6961-5f5c39851037,34
5fdce89e-658a-08ad-65c1-2a3e7c44c090,40
5fdcea1a-554b-b5d4-0af8-0e0845637c3e,18
5fdceaa7-0d42-7c95-7da9-51f5df760093,18
5fdceb44-8ec8-4389-780f-975785aaae72,18
5fdceddc-d033-f952-9c3b-aac3e9f4cec9,22
5fdcf08c-cddb-0766-f47f-a333c1c43919,18
5fdceeea-db5f-a74c-f15d-a3685d811c68,46
5fdcee9a-a485-324e-db14-53acece13e27,35
5fdce864-8fc9-1070-28cb-4bb022575987,72
5fdcf44a-3808-186d-6fa3-95d2bea0ea31,18
5fdcf4ce-c5df-d64c-bbce-151fcc7931fc,54
5fdcf554-3b9b-258b-1011-7a553beb1737,84
5fdcf59e-b1c6-b63b-ec28-b874468b3273,53
5fdcf91d-511e-cc84-bc6c-2900635d2e7f,53
5fdcf89a-9523-7cc2-2d26-f0fbdf7a2949,44
5fdcf906-3097-244e-f889-6e5eae6a8868,61
5fdcf9eb-d396-5ed9-76d6-9e99b36a435b,50
5fdcfa3e-9b36-6a0a-0597-972cd8c64a1d,47
5fdcfb12-e0fb-cb2c-04ea-b108880cf132,67
5fdcfd01-2693-6f86-9bd4-e78ab5707c26,58
5fdcffd3-e164-289b-bd86-9865d4a5e6b9,20
5fdcfe3b-862b-a404-274d-b5384b32d5fa,73
5fdd0032-d6d0-9ce9-bd7a-833bfa9f0909,65
5fdcffaf-ebeb-b8ae-61fd-df4c7e4b7969,56
5fdd347a-be3c-e64f-bd29-fc1f852bd081,49
5fdd64eb-a5b8-b569-bb4a-abe07d741b10,59
5fdd8ef6-218f-42c3-c9c2-3f4527bd042f,70
5fdf2af8-522e-9167-289b-b876ed6d83d3,55
5fdf740e-b833-dcd9-3c81-50f445c52282,22
5fdf73b9-b1b4-dcce-5c7d-e94508f2de6b,18
5fdf73a6-76cd-6517-1563-cc95d4b3a73f,72
5fdf73dc-fbff-8ef2-1ac1-850c47b99493,56
5fdf75dc-7a5b-9a61-c0df-381c5546bfd0,30
5fdf7674-d2ea-775e-5ec4-e614f2b0075e,50
5fdf76bf-1566-5951-249e-401106bc5dfa,71
5fdf763f-a83f-60a2-53d1-e0f1b540ffc8,76
5fdf771f-9a2f-386a-8293-5b2eba48c188,68
5fdf78bb-daa2-b86e-9331-17dc8abaedf6,49
5fdf78e9-fe23-5c78-d048-af8e3283e089,40
5fdf770d-2b31-c5cf-58b7-7710b97c31ed,63
5fdf7d54-5e2a-8dfa-46f7-40aa68328fb5,27
5fdf8144-2760-2f0c-6ea4-87cd6d37a8dd,26
5fdf8181-6509-7c20-5b9e-06ebdc2adea6,27
5fdf8196-3e87-a703-e3bc-0213ae09b088,38
5fdf8394-f8b2-d06d-82ae-e1ce44137afc,42
5fdf85fd-bdf4-918b-8791-c2db53d09e6a,41
5fdf88fd-5122-bda7-f6e2-83b35389c612,40
5fdf9613-c355-d2ab-1743-3db4e9b91665,38
5fdf9768-a5c7-13fa-6b56-95e819d4c826,46
5fdf9a19-9098-a008-256a-21647db52a6f,42
5fdfafaf-7b23-e666-6dd7-124dd2d7d8b3,20
5fdfafbf-fbec-72f6-e095-572b07a2fd16,54
5fdfb0bd-c823-21c6-a4ee-02cb991eacc1,18
5fdfb1bd-a5fe-5cbf-7a62-fe83c3881ae6,78
5fdfb15c-3cfd-3ffb-8259-c0f953b0f47d,56
5fdfb39a-5327-6370-c834-3f77dc6e32b7,45
5fdfb2bb-7c31-95f3-df09-8875f996a826,31
5fdfb30a-bb94-4b25-9b70-f3bfaf575c0d,30
5fdfb34b-d3e4-b6a7-2edd-8a5a5076913c,55
5fdfb352-5dab-1905-78af-bddda17607fa,43
5fdfb2cc-8804-aa2d-1c14-0ca397c4f78b,55
5fdfb422-4bf6-0667-93a9-86376ee7e291,28
5fdfb494-393e-711e-e22a-d92ee8e9a530,55
5fdfb4d1-89a9-3322-819a-b95f4e79f7c9,39
5fdfb48d-6e65-8027-a52b-1c438a80af36,56
5fdfb3a9-f4e6-c842-37a7-49c440166601,79
5fdfb686-7ee7-9b8f-bbc6-bd2daed085f8,33
5fdfb8ab-253f-9c7c-a0d4-ca3f13ada735,65
5fdfb9bd-946d-0e7d-cffe-d9aa06372f74,63
5fdfbab8-c7de-3f21-718b-662527e94fc4,64
5fdfbb73-2ede-abb6-e8cc-0fd167f685fb,54
5fdfba1f-b844-c3a6-191b-f8da54c2515d,47
5fdfbb63-1c16-fdaf-6ea9-11b465d6554a,63
5fdfbc7d-14d4-8d5c-2aaf-c4eb884ee441,65
5fdfbd8d-91d2-d389-571b-15a48f05208d,51
5fdfddf2-cbf2-cd4c-aafb-af99792f4d96,18
5fdfddcf-3a8f-90e0-0d79-028737306ff5,18
5fdfdd85-857a-2aeb-9da4-c1bb1b46fc62,41
5fdfded3-79d9-2d62-d3dc-2e6c3dde5be5,35
5fdfe23c-9bb2-6842-e0f4-53ade8c38de7,29
5fdfe2a2-1028-da33-ab1b-548f92db38c8,23
5fdfe255-285e-5215-7f5a-4d7da0a63bb8,55
5fdfe09c-cfc1-3ff7-6402-cdda60c63737,25
5fdfe443-3e04-40e7-a30c-b165a1746d79,19
5fdfe21b-27c0-7304-304c-408f231d4a26,83
5fdfe4fe-6923-5675-bdff-6d0b940b1557,45
